incorrect,correct
she go to school every day,she goes to school every day
i has a dream,I have a dream
the cat eat the food,the cat eats the food
they was playing outside,they were playing outside
he do not like apple,he does not like apples
it run in the park,It runs in the park
they play the food,They play the food
john has a dog,John has a dog
we is well,We is well
i do some books,I do some books
we run a dog,We run a dog
it eat in the park,It eats in the park
he run well,He runs well
we go well,We go well
mary play every day,Mary plays every day
john has well,John has well
john go a dog,John goes a dog
john is well,John is well
we do a dog,We do a dog
they was every day,They were every day
i go fast,I go fast
mary walk to school,Mary walks to school
she is a dog,She is a dog
mary go every day,Mary goes every day
we is the food,We is the food
mary walk a dog,Mary walks a dog
she eat every day,She eats every day
they do in the park,They do in the park
she has some books,She has some books
john do every day,John does every day
she walk to school,She walks to school
they go in the park,They go in the park
they was well,They were well
john go the food,John goes the food
she run in the park,She runs in the park
she has to school,She has to school
mary has to school,Mary has to school
mary run some books,Mary runs some books
they do some books,They do some books
she do fast,She does fast
they do in the park,They do in the park
she go the food,She goes the food
john do to school,John does to school
i go every day,I go every day
we play a dog,We play a dog
they is to school,They is to school
we walk some books,We walk some books
she run some books,She runs some books
it was fast,It was fast
he go a dog,He goes a dog
mary has to school,Mary has to school
john was a dog,John was a dog
he go fast,He goes fast
john play well,John plays well
she was in the park,She was in the park
she walk to school,She walks to school
it eat a dog,It eats a dog
it has every day,It has every day
it was some books,It was some books
mary was the food,Mary was the food
it go in the park,It goes in the park
mary was a dog,Mary was a dog
i go well,I go well
i has a dog,I have a dog
they do in the park,They do in the park
he eat some books,He eats some books
i play a dog,I play a dog
i do every day,I do every day
john play some books,John plays some books
john go the food,John goes the food
we is some books,We is some books
we go well,We go well
john play some books,John plays some books
i eat some books,I eat some books
it walk well,It walks well
mary has some books,Mary has some books
it run every day,It runs every day
they do a dog,They do a dog
it run fast,It runs fast
it play the food,It plays the food
john eat well,John eats well
john run well,John runs well
mary eat some books,Mary eats some books
he is some books,He is some books
it play every day,It plays every day
we eat some books,We eat some books
i eat the food,I eat the food
it eat fast,It eats fast
they go some books,They go some books
he eat in the park,He eats in the park
it walk in the park,It walks in the park
mary run fast,Mary runs fast
it walk well,It walks well
it do to school,It does to school
she go well,She goes well
i go in the park,I go in the park
i eat in the park,I eat in the park
she play in the park,She plays in the park
i play well,I play well
john do the food,John does the food
